ebaotstarbekas/ADJ,administratiivne/ADJ,jaotus/NOUN
pikaajalisele/ADJ,süsteemsele/ADJ,kortikosteroidravile/NOUN
ägedate/ADJ,obstruktiivsete/ADJ,tüsistuste/NOUN
optimaalse/ADJ,peroraalse/ADJ,ravi/NOUN
maladaptiivse/ADJ,neurohormonaalse/ADJ,aktivatsiooni/NOUN
kõrge/ADJ,tsentraalne/ADJ,vererõhk/NOUN
positiivne/ADJ,inotroopne/ADJ,toime/NOUN
süsteemne/ADJ,vaskulaarne/ADJ,vastupanu/NOUN
Süstoolne/ADJ,arteriaalne/ADJ,vererõhk/NOUN
keskmine/ADJ,arteriaalne/ADJ,vererõhk/NOUN
süstoolne/ADJ,arteriaalne/ADJ,vererõhk/NOUN
oluliste/ADJ,valvulaarsete/ADJ,stenoosidega/NOUN
normaalsest/ADJ,venoossest/ADJ,naasust/NOUN
kõrge/ADJ,tsentraalne/ADJ,vererõhk/NOUN
positiivne/ADJ,inotroopne/ADJ,toime/NOUN
esialgsest/ADJ,ühekordsest/ADJ,annusest/NOUN
sagedasemaid/ADJ,kroonilisi/ADJ,närvihaigusi/NOUN
varasemates/ADJ,kliinilistes/ADJ,uuringutes/NOUN
töötu/ADJ,võimaliku/ADJ,ravi/NOUN
konkreetsete/ADJ,tegelike/ADJ,kulutuste/NOUN
väikesed/ADJ,sõlmjad/ADJ,moodustised/NOUN
tõsis-tele/ADJ,somaatilistele/ADJ,haigustele/NOUN
aktiivsele/ADJ,erialasele/ADJ,tegevusele/NOUN
pikka/ADJ,rasket/ADJ,haigust/NOUN
ametliku/ADJ,katoliku/ADJ,kiriku/NOUN
sagedased/ADJ,öised/ADJ,ärkamised/NOUN
Oluline/ADJ,negatiivne/ADJ,korrelatsioon/NOUN
sagedased/ADJ,öised/ADJ,ärkamised/NOUN
pidev/ADJ,mitteinvasiivne/ADJ,registreerimine/NOUN
keskmise/ADJ,arteriaalse/ADJ,vererõhu/NOUN
igihaljal/ADJ,traditsioonilisel/ADJ,viisil/NOUN
suurte/ADJ,rahvusvaheliste/ADJ,projektide/NOUN
esimeseks/ADJ,suuremaks/ADJ,ettevõtmiseks/NOUN
esimese/ADJ,kunstliku/ADJ,taevakeha/NOUN
tähtsa/ADJ,rahvusvahelise/ADJ,kokkuleppe/NOUN
esimesed/ADJ,meteoroloogilised/ADJ,satelliidid/NOUN
komplekssed/ADJ,geofüüsikalised/ADJ,sündmused/NOUN
kindlate/ADJ,geofüüsikaliste/ADJ,suuruste/NOUN
võimalikke/ADJ,geofüüsikalisi/ADJ,vaatlusi/NOUN
regulaarseid/ADJ,kevadisi/ADJ,ekspeditsioone/NOUN
heterogeensete/ADJ,keemiliste/ADJ,protsesside/NOUN
tähtsa/ADJ,rakendusliku/ADJ,väljundiga/NOUN
aastasest/ADJ,regulaarsest/ADJ,rütmist/NOUN
Esimene/ADJ,päris/ADJ,kuu/NOUN
Põhjapoolsemad/ADJ,sõjakamad/ADJ,hõimud/NOUN
heliotsentrilise/ADJ,sfäärilise/ADJ,mudeli/NOUN
kapitaalses/ADJ,viieköitelises/ADJ,teoses/NOUN
elegantse/ADJ,matemaatilise/ADJ,arenduse/NOUN
konkreetse/ADJ,geograafilise/ADJ,piirkonnaga/NOUN
suuremad/ADJ,triangulatsioonilised/ADJ,kraadimõõtmised/NOUN
mahuka/ADJ,kaheköitelise/ADJ,töö/NOUN
sooja/ADJ,tihedasse/ADJ,gaasipilve/NOUN
keskmine/ADJ,lineaarne/ADJ,kiirus/NOUN
Põhjapoolsete/ADJ,kõrgete/ADJ,laiuskraadide/NOUN
Hilisemad/ADJ,külmad/ADJ,perioodid/NOUN
plastne/ADJ,tahke/ADJ,vahevöö/NOUN
Projektijärgseks/ADJ,peamiseks/ADJ,ülesandeks/NOUN
konkreetsest/ADJ,majanduslikust/ADJ,kontekstist/NOUN
kiirem/ADJ,tehnoloogiline/ADJ,progress/NOUN
keskne/ADJ,liikumapanev/ADJ,jõud/NOUN
otsene/ADJ,positiivne/ADJ,mõju/NOUN
aktuaalne/ADJ,madal/ADJ,majanduskasv/NOUN
väiksema/ADJ,potentsiaalse/ADJ,tootmiseni/NOUN
potentsiaalseid/ADJ,negatiivseid/ADJ,mõjusid/NOUN
eesti/ADJ,keskmine/ADJ,tööandja/NOUN
edasist/ADJ,makromajanduslikku/ADJ,dünaamikat/NOUN
seniste/ADJ,teoreetiliste/ADJ,tulemustega/NOUN
spetsiifilistest/ADJ,struktuursetest/ADJ,muutustes/NOUN
kerge/ADJ,edasine/ADJ,langus/NOUN
tähtajalise/ADJ,lepingulise/ADJ,töö/NOUN
märkimisväärne/ADJ,negatiivne/ADJ,korrelatsioon/NOUN
järgmise/ADJ,põhimõttelise/ADJ,skeemi/NOUN
kroonilisi/ADJ,obstruktiivseid/ADJ,momente/NOUN
olulisi/ADJ,empiirilisi/ADJ,seosed/NOUN
olulist/ADJ,positiivset/ADJ,mõju/NOUN
järgmised/ADJ,olulised/ADJ,järeldused/NOUN
selge/ADJ,positiivne/ADJ,seos/NOUN
tugevad/ADJ,sektoritevahelised/ADJ,piirid/NOUN
90ndate/ADJ,teisel/ADJ,poolel/NOUN
Ülemineku-spetsiifiliste/ADJ,struktuursete/ADJ,tegurite/NOUN
märkimisväärne/ADJ,negatiivne/ADJ,korrelatsioon/NOUN
töömahukate/ADJ,kohalike/ADJ,teenuste/NOUN
väärikale/ADJ,uuele/ADJ,omanikule/NOUN
laiema/ADJ,kultuurilise/ADJ,hoiaku/NOUN
Maitsekas/ADJ,valge/ADJ,kivimaja/NOUN
korraliku/ADJ,kahetoalise/ADJ,korteri/NOUN
pidev/ADJ,arhitektuuriline/ADJ,probleem/NOUN
Kuulsaim/ADJ,sellealane/ADJ,objekt/NOUN
vigases/ADJ,inglise/ADJ,keeles/NOUN
paremat/ADJ,saksa/ADJ,peret/NOUN
viimasel/ADJ,vabal/ADJ,parkimiskohal/NOUN
värske/ADJ,kohev/ADJ,lumi/NOUN
pehmem/ADJ,mereline/ADJ,ilmastik/NOUN
suur/ADJ,soe/ADJ,vann/NOUN
esimene/ADJ,täispikk/ADJ,film/NOUN
väikest/ADJ,pelglikku/ADJ,metsaelanikku/NOUN
kolmapäevaste/ADJ,parteiliste/ADJ,augukaevajate/NOUN
suuremaid/ADJ,rahvusvahelisi/ADJ,ravimimüüjaid/NOUN
järgmise/ADJ,suure/ADJ,kasti/NOUN
üldise/ADJ,ülla/ADJ,eesmärgi/NOUN
Potentsiaalsed/ADJ,eesti/ADJ,ostjad/NOUN
Vanadel/ADJ,headel/ADJ,aegadel/NOUN
silmapaistvaim/ADJ,tehniline/ADJ,lahendus/NOUN
tubli/ADJ,ukraina/ADJ,naine/NOUN
vanu/ADJ,häid/ADJ,aegu/NOUN
kohaliku/ADJ,opositsioonilise/ADJ,päevalehe/NOUN
õdusasse/ADJ,väikesesse/ADJ,kohvikusse/NOUN
vahepealsele/ADJ,punasele/ADJ,terrorile/NOUN
noor/ADJ,andekas/ADJ,peatoimetaja/NOUN
Tõeline/ADJ,noor/ADJ,kasakas/NOUN
esimeseks/ADJ,eesti/ADJ,veinikirjanikuks/NOUN
laia/ADJ,pehme/ADJ,diivani/NOUN
praktiline/ADJ,eesti/ADJ,naine/NOUN
uutel/ADJ,vapratel/ADJ,riikidel/NOUN
uute/ADJ,strateegiliste/ADJ,investoritega/NOUN
PRAEGUNE/ADJ,õIGE/ADJ,TREND/NOUN
Valged/ADJ,protestantlikud/ADJ,naised/NOUN
polüfooniline/ADJ,avalik/ADJ,arvamus/NOUN
Tubli/ADJ,eesti/ADJ,naine/NOUN
kuulus/ADJ,eestlaslik/ADJ,eneseiroonia/NOUN
kõrge/ADJ,heleda/ADJ,häälega/NOUN
Raskest/ADJ,majanduslikust/ADJ,seisust/NOUN
hõbehalli/ADJ,moodsa/ADJ,potisoenguga/NOUN
pikad/ADJ,pruunid/ADJ,nahksaapad/NOUN
ilusa/ADJ,loperguse/ADJ,ringi/NOUN
tasasel/ADJ,intelligentsel/ADJ,moel/NOUN
pimedat/ADJ,vana/ADJ,inimest/NOUN
kindla/ADJ,vaikse/ADJ,häälega/NOUN
esimene/ADJ,tõeline/ADJ,ööklubi/NOUN
toonane/ADJ,diplomaatiline/ADJ,korpus/NOUN
suur/ADJ,150kilone/ADJ,naispolitseinik/NOUN
tore/ADJ,brutaalne/ADJ,rock'n'roll-show/NOUN
Bänditagused/ADJ,sünged/ADJ,lavaillustratsioonid/NOUN
esimesel/ADJ,suurel/ADJ,filmiturul/NOUN
Temperamentne/ADJ,mustajuukseline/ADJ,neiu/NOUN
mahukas/ADJ,ovaalne/ADJ,boksirida/NOUN
avameelse/ADJ,erootilise/ADJ,ihaga/NOUN
radikaalse/ADJ,vasakpoolse/ADJ,telekanali/NOUN
iseseisev/ADJ,mässuline/ADJ,vabariik/NOUN
skandinaavia/ADJ,riiklikke/ADJ,filmiinstitutsioone/NOUN
tollane/ADJ,abstraktne/ADJ,vabadus/NOUN
varasema/ADJ,kristliku/ADJ,kasinusõpetuse/NOUN
ebamäärase/ADJ,soolise/ADJ,identsusega/NOUN
nüüdisaegsele/ADJ,eesti/ADJ,maalile/NOUN
Kümnendat/ADJ,edukat/ADJ,tegutsemisaastat/NOUN
millisesse/ADJ,suuremasse/ADJ,veekogusse/NOUN
ammusest/ADJ,sõjaeelsest/ADJ,ajast/NOUN
esimese/ADJ,teadusliku/ADJ,meetodina/NOUN
viimane/ADJ,okupatsioonieelne/ADJ,saadik/NOUN
uusi/ADJ,miljööväärtuslikke/ADJ,alasid/NOUN
järjekordne/ADJ,tähtis/ADJ,päev/NOUN
terava/ADJ,ajakirjandusliku/ADJ,lähenemisega/NOUN
kolmandaks/ADJ,järjestikuseks/ADJ,MK-etapivõiduks/NOUN
Suure/ADJ,emotsionaalse/ADJ,väärtusega/NOUN
terve/ADJ,läikiva/ADJ,koorega/NOUN
siinne/ADJ,tavaline/ADJ,tali/NOUN
viimasest/ADJ,ühisest/ADJ,stuudiosessioonist/NOUN
kunagise/ADJ,ühise/ADJ,korteri/NOUN
endasarnane/ADJ,lihtne/ADJ,inimene/NOUN
selget/ADJ,tajupsühholoogilist/ADJ,seletust/NOUN
suure/ADJ,kodumaise/ADJ,turuta/NOUN
kõikvõimalikud/ADJ,heleroosad/ADJ,iluvidinad/NOUN
terve/ADJ,paks/ADJ,tööjuhend/NOUN
ilusat/ADJ,punast/ADJ,lillekest/NOUN
masendavaim/ADJ,sionistlik/ADJ,vale/NOUN
muutlikes/ADJ,poliitilistes/ADJ,oludes/NOUN
Massiivsed/ADJ,mustad/ADJ,augud/NOUN
supermassiivse/ADJ,musta/ADJ,augu/NOUN
üliheledat/ADJ,punktikujulist/ADJ,kiirgusallikat/NOUN
Sümmeetrilisi/ADJ,kahekõrvalisi/ADJ,galaktikaid/NOUN
sealses/ADJ,ülisoodsas/ADJ,teadusõhkonnas/NOUN
supermassiivsete/ADJ,mustade/ADJ,aukude/NOUN
väiksemat/ADJ,musta/ADJ,auku/NOUN
parima/ADJ,võimaliku/ADJ,kinnituse/NOUN
supermassiivne/ADJ,must/ADJ,auk/NOUN
gigantsest/ADJ,elliptilisest/ADJ,galaktikast/NOUN
uue/ADJ,suure/ADJ,sõja/NOUN
vastase/ADJ,võimalike/ADJ,liitlaste/NOUN
iga-aastase/ADJ,12protsendilise/ADJ,kasvutempoga/NOUN
sealseid/ADJ,pühasid/ADJ,paikasid/NOUN
sajanditepikkune/ADJ,suur/ADJ,vastasseis/NOUN
uute/ADJ,diplomaatiliste/ADJ,kombinatsioonide/NOUN
hindu/ADJ,bhakti/ADJ,traditsioonist/NOUN
Uusi/ADJ,poliitilisi/ADJ,anekdoote/NOUN
viienda/ADJ,eduka/ADJ,ekspeditsioonina/NOUN
traagilise/ADJ,1984./ADJ,aastani/NOUN
valulik/ADJ,melanhoolne/ADJ,muusika/NOUN
pimestavvalge/ADJ,puhas/ADJ,marmor/NOUN
klassikaline/ADJ,heteroseksuaalne/ADJ,maailm/NOUN
uhiuus/ADJ,tänapäevane/ADJ,sõiduauto/NOUN
Uue/ADJ,transgeense/ADJ,hiireliini/NOUN
vanad/ADJ,tugevad/ADJ,tegijad/NOUN
viimase/ADJ,sõltumatu/ADJ,teguri/NOUN
praeguse/ADJ,inimmõjulise/ADJ,muutuse/NOUN
autoriteetse/ADJ,rahvusvahelise/ADJ,teadlaskogu/NOUN
viimane/ADJ,kaunis/ADJ,suvi/NOUN
kange/ADJ,käre/ADJ,talv/NOUN
Mullune/ADJ,kuum/ADJ,suvi/NOUN
kaugete/ADJ,välismaiste/ADJ,paikade/NOUN
traditsioonilisi/ADJ,eestipäraseid/ADJ,nimesid/NOUN
iseloomulikud/ADJ,tšetšeeni/ADJ,tähed/NOUN
tähtsamad/ADJ,poliitilised/ADJ,tegelased/NOUN
uus/ADJ,suurem/ADJ,ülestõus/NOUN
kõrgema/ADJ,parteilise/ADJ,hariduse/NOUN
Rängast/ADJ,rahvuslikust/ADJ,diskrimineerimisest/NOUN
uus/ADJ,metsik/ADJ,koloniaalsõda/NOUN
suur/ADJ,psühholoogiline/ADJ,tähendus/NOUN
rikkalik/ADJ,rahvuslik/ADJ,ornamentika/NOUN
Alumine/ADJ,valge/ADJ,triip/NOUN
Säärased/ADJ,mehaanilised/ADJ,võnkumised/NOUN
peamiseks/ADJ,põhjuslikuks/ADJ,mehhanismiks/NOUN
säärane/ADJ,öine/ADJ,episood/NOUN
järjekordset/ADJ,veealust/ADJ,kolossi/NOUN
suure/ADJ,veealuse/ADJ,ehituse/NOUN
isikliku/ADJ,kehalise/ADJ,ebamugavustundega/NOUN
Inimlik/ADJ,kehaline/ADJ,osavus/NOUN
mõistusekeskne/ADJ,läänelik/ADJ,inimene/NOUN
üliedukas/ADJ,bioloogiline/ADJ,liik/NOUN
taolistest/ADJ,instinktiivsetest/ADJ,käitumismallidest/NOUN
olulisemaid/ADJ,soolisi/ADJ,iseärasusi/NOUN
pikakaelalised/ADJ,tuhandekilosed/ADJ,kaunitarid/NOUN
kõrgete/ADJ,pikakaelaliste/ADJ,siluettideta/NOUN
halvamaitselisi/ADJ,mürgiseid/ADJ,aineid/NOUN
Kindel/ADJ,ühine/ADJ,poegimispiirkond/NOUN
Täiskasvanud/ADJ,isase/ADJ,kaelkirjaku/NOUN
pika/ADJ,peene/ADJ,kaela/NOUN
väiksed/ADJ,mahlakad/ADJ,lehed/NOUN
maduja/ADJ,sarvpinnalise/ADJ,moodustise/NOUN
karmidest/ADJ,lühikestest/ADJ,karvadest/NOUN
vägev/ADJ,must/ADJ,tutt/NOUN
kitsas/ADJ,hele/ADJ,joon/NOUN
uhket/ADJ,vana/ADJ,gasellikotkast/NOUN
Säärane/ADJ,piiramatu/ADJ,sõitmine/NOUN
suurimad/ADJ,võimalikud/ADJ,loomad/NOUN
suured/ADJ,lahked/ADJ,silmad/NOUN
uut/ADJ,kodumaist/ADJ,miljonäri/NOUN
Tüüpiline/ADJ,keskealine/ADJ,pangamiljonär/NOUN
kõrgemal/ADJ,professionaalsel/ADJ,tasemel/NOUN
elitaarse/ADJ,poliitilise/ADJ,kliki/NOUN
efektiivne/ADJ,ühine/ADJ,raha/NOUN
lapsevanemate-poolne/ADJ,tunnetatud/ADJ,vajadus/NOUN
kommunistlik/ADJ,poliitiline/ADJ,bürokraatia/NOUN
Endisest/ADJ,kommunistlikust/ADJ,ühiskonnast/NOUN
vabariiklike/ADJ,kommunistlike/ADJ,parteide/NOUN
räpane/ADJ,villane/ADJ,sokk/NOUN
esimesed/ADJ,vabad/ADJ,valimised/NOUN
uue/ADJ,akadeemilise/ADJ,kraadi/NOUN
kulunõudev/ADJ,pikaajaline/ADJ,protsess/NOUN
suuremad/ADJ,kirjalikud/ADJ,tööd/NOUN
Kuulus/ADJ,itaalia/ADJ,psühhiaater/NOUN
Keskmine/ADJ,eesti/ADJ,vang/NOUN
ainukeseks/ADJ,mustaks/ADJ,lambaks/NOUN
tulevast/ADJ,armeenia/ADJ,kirikuisa/NOUN
omapärase/ADJ,armeenia/ADJ,kirja/NOUN
Uus/ADJ,korruptsioonivastane/ADJ,seadus/NOUN
pidevatele/ADJ,sõjalistele/ADJ,operatsioonidele/NOUN
tohutud/ADJ,asustamata/ADJ,alad/NOUN
väike/ADJ,piiratud/ADJ,isolaat/NOUN
auhinnaline/ADJ,teine/ADJ,koht/NOUN
väike/ADJ,armas/ADJ,kodumaa/NOUN
Võimaliku/ADJ,uue/ADJ,kandidaadina/NOUN
õigeaegne/ADJ,kvalifitseeritud/ADJ,arstiabi/NOUN
peamine/ADJ,materiaalne/ADJ,väärtus/NOUN
riikliku/ADJ,venekeelse/ADJ,ajalehe/NOUN
ametlik/ADJ,keskmine/ADJ,palk/NOUN
korralik/ADJ,ingliskeelne/ADJ,koopia/NOUN
pahaendelises/ADJ,juriidilises/ADJ,vaakumis/NOUN
Igapäise/ADJ,administratiivse/ADJ,tegevuse/NOUN
võimalikke/ADJ,uusi/ADJ,turuletulijaid/NOUN
kindlaid/ADJ,seadusandlikke/ADJ,piiranguid/NOUN
ebaefektiivne/ADJ,avalik/ADJ,monopol/NOUN
noored/ADJ,agressiivsed/ADJ,kutid/NOUN
sirgel/ADJ,laial/ADJ,asfaltteel/NOUN
laia/ADJ,ühiskondliku/ADJ,liikumise/NOUN
uued/ADJ,poliitilised/ADJ,institutsioonid/NOUN
pisikesed/ADJ,putukataolised/ADJ,vidinad/NOUN
esimese/ADJ,maavälise/ADJ,satelliidi/NOUN
uusi/ADJ,noori/ADJ,talente/NOUN
kvaliteetsed/ADJ,kallid/ADJ,lamellrehvid/NOUN
nähtamatu/ADJ,musta/ADJ,jääga/NOUN
hilisema/ADJ,mugava/ADJ,sõidu/NOUN
hea/ADJ,muusikaline/ADJ,kõrv/NOUN
Erilisi/ADJ,muusikalisi/ADJ,eelistusi/NOUN
kahtlase/ADJ,professionaalse/ADJ,tasemega/NOUN
sügav/ADJ,filosoofiline/ADJ,sisu/NOUN
väike/ADJ,sõbralik/ADJ,aadlimees/NOUN
järgmine/ADJ,kõrge/ADJ,külaline/NOUN
taolise/ADJ,paranoilise/ADJ,mõtteviisiga/NOUN
minupoolne/ADJ,rahaline/ADJ,panus/NOUN
kaunis/ADJ,stereotüüpne/ADJ,osa/NOUN
suure/ADJ,kalgi/ADJ,ühiskonna/NOUN
varasemad/ADJ,klassikalised/ADJ,hüved/NOUN
kehtivat/ADJ,teaduslikku/ADJ,maailmavaadet/NOUN
haleda/ADJ,seniilse/ADJ,vanamehega/NOUN
Ainus/ADJ,õige/ADJ,mõte/NOUN
senisest/ADJ,parimast/ADJ,kohast/NOUN
mingisugust/ADJ,sügavat/ADJ,seost/NOUN
vaikne/ADJ,passiivne/ADJ,sallimatus/NOUN
pooliku/ADJ,17/ADJ,rea/NOUN
igatmasti/ADJ,tehnilise/ADJ,infoga/NOUN
Lühike/ADJ,sisuline/ADJ,sünops/NOUN
puhas/ADJ,tobe/ADJ,väide/NOUN
ainuke/ADJ,mõistlik/ADJ,klaas/NOUN
Teine/ADJ,suurem/ADJ,viga/NOUN
igasugu/ADJ,karmide/ADJ,suuliste/NOUN
väike/ADJ,tähtajaline/ADJ,hoius/NOUN
ainus/ADJ,loogiline/ADJ,käik/NOUN
parim/ADJ,kaasaegne/ADJ,skulptor/NOUN
vana/ADJ,hea/ADJ,praekartul/NOUN
peened/ADJ,prantsusepärased/ADJ,hääldused/NOUN
